Protocol,Switch,Config,CPU_Min,CPU_Max,CPU_Mean,CPU_Std,Mem_Min,Mem_Max,Mem_Mean,Mem_Std,Power_Min,Power_Max,Power_Mean,Power_Std
modbus,s1,128,8.325,38.325,29.252414772727274,5.001026093982595,46.35,60.35,57.281818181818196,5.3717152451823695,0.8258,0.922,0.9214534090909093,0.0072513478370952195
modbus,s1,192,10.0,35.0,28.403795811518325,5.5253222687800845,46.18,54.18,54.05958115183247,0.9562271434960763,0.8533,0.922,0.9212806282722514,0.007011471174029688
modbus,s1,256,10.0,38.325,30.12666666666667,3.8024223398258257,47.39,57.89,57.48393939393941,1.496528379759789,0.922,0.922,0.9219999999999999,1.1136027067949545e-16
modbus,s2,128,5.0,53.325,35.08818181818182,3.653699014852047,115.08,117.58,116.40715151515151,0.2938865013634787,0.936,0.936,0.9360000000000003,2.227205413589909e-16
modbus,s2,192,6.25,51.675,38.53468899521531,5.853886880487337,54.72,117.59,116.2803827751196,4.287504187807997,0.936,0.936,0.9360000000000002,1.1128886299618004e-16
modbus,s2,256,1.55,58.325,34.02533112582782,3.664345083316352,46.85,117.6,115.62602649006622,5.666396159755652,0.936,0.936,0.9360000000000005,4.455670482437197e-16
dnp3,s1,128,5.0,36.675,25.09602272727273,12.731929674327832,76.87,116.37,115.47227272727272,5.954849055410831,0.812,0.922,0.9088795454545454,0.03353220305391594
dnp3,s1,192,10.0,51.675,32.8484375,8.575534727755201,114.9,116.9,116.634375,0.5077524002897476,0.922,0.922,0.922,0.0
dnp3,s1,256,11.675,38.325,33.01212121212121,6.834891873493572,115.4,116.4,115.97575757575758,0.33356999174676877,0.922,0.922,0.922,0.0
dnp3,s2,128,10.0,36.675,27.102976190476188,9.549071277758479,114.75,116.9,116.00047619047616,0.7629913926598009,0.936,0.936,0.9360000000000002,1.1236807647640433e-16
dnp3,s2,192,1.675,54.7,31.675806451612903,10.723421569689886,46.72,116.72,110.65096774193543,17.10130996051447,0.936,0.936,0.936,0.0
dnp3,s2,256,1.55,53.125,33.13145161290322,7.033814066534645,46.71,117.12,112.49903225806449,13.255430422997387,0.936,0.936,0.936,0.0
mqtt,s1,128,5.0,41.675,36.050388601036275,5.610599318967127,115.5,118.0,117.49222797927462,0.43143620357446777,0.923,0.923,0.923,0.0
mqtt,s1,192,8.325,40.0,35.087562814070345,6.291261714025876,54.37,118.37,117.85743718592964,4.561708540991375,0.8268,0.923,0.922516582914573,0.006819437192180197
mqtt,s1,256,1.675,41.675,35.519895287958114,5.5433254782124,46.35,117.35,116.49397905759162,6.587184757628864,0.72,0.923,0.9219371727748693,0.01468856448743617
mqtt,s2,128,1.55,53.325,34.24986842105263,4.158935285317999,46.72,117.22,115.53889473684208,6.03956595898977,0.936,0.936,0.9360000000000003,2.2263124955355034e-16
mqtt,s2,192,1.675,56.25,34.424740932642486,4.83013610328783,46.84,117.34,116.0662176165803,5.042286052962125,0.936,0.936,0.9360000000000002,1.1131104755993996e-16
mqtt,s2,256,26.55,55.0,33.95810810810811,3.3509897449645853,114.33,117.08,116.08508108108109,0.381376395896037,0.9089,0.936,0.9358535135135135,0.0019924316258742203
ethernet-ip,s1,128,8.325,26.675,22.174164877117633,3.816135338341886,48.43,126.93,126.19437604390363,6.026613042144862,0.8395,0.922,0.9219311381531854,0.0022358249571253065
ethernet-ip,s1,192,3.325,26.675,22.803221153846152,3.837791949981617,46.84,126.34,125.78218749999998,5.382135547095319,0.8403,0.9228,0.9227141105769231,0.0024836237723033306
ethernet-ip,s1,256,6.25,28.325,21.795603015075375,4.060720568591132,47.9,127.4,126.90633165829146,4.928011123918816,0.8541,0.9228,0.9227447638190953,0.0019474180063182157
ethernet-ip,s2,128,1.55,30.0,24.90526566757493,1.2279359737022777,46.85,127.6,127.3763269754768,2.8364956886390416,0.87,0.936,0.8848005449591279,0.01236762096029467
ethernet-ip,s2,192,21.875,30.0,24.90668588687534,1.1674140605433663,49.3,127.68,127.4414991762768,2.6333584580544382,0.87,0.936,0.8946423119165293,0.02227656633733835
ethernet-ip,s2,256,1.675,28.325,24.77098677998111,1.245580667162278,46.6,127.78,127.42029036827198,2.873037322691612,0.87,0.936,0.8800933899905571,0.010478774125962261
